rose0@fedora:~/Projects/deepity$ ./build/Release/bin/DeepityTests
2026-07-18T18:22:31-04:00
Running ./build/Release/bin/DeepityTests
Run on (20 X 1077.4 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1280 KiB (x10)
  L3 Unified 24576 KiB (x1)
Load Average: 2.07, 1.20, 0.99
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
BM_Network_UpdateWeights/8           214 ns          213 ns      4489886
BM_Network_UpdateWeights/16          289 ns          288 ns      4375848
BM_Network_UpdateWeights/32          432 ns          431 ns      3347928
BM_Network_UpdateWeights/64          658 ns          656 ns      2420633
BM_Network_UpdateWeights/128         867 ns          865 ns      1445018
BM_Network_Inference/8             14280 ns        14243 ns        51160 items_per_second=3.51044M/s
BM_Network_Inference/16            16169 ns        16128 ns        42359 items_per_second=3.10022M/s
BM_Network_Inference/32            20915 ns        20864 ns        31634 items_per_second=2.39653M/s
BM_Network_Inference/64            28551 ns        28470 ns        24103 items_per_second=1.75624M/s
BM_Network_Inference/128           44891 ns        44791 ns        15025 items_per_second=1.11629M/s
BM_Network_TrainSample/8           13209 ns        13181 ns        52074 items_per_second=75.8693k/s
BM_Network_TrainSample/16          14843 ns        14813 ns        44441 items_per_second=67.5061k/s
BM_Network_TrainSample/32          17122 ns        17088 ns        38070 items_per_second=58.5195k/s
BM_Network_TrainSample/64          24173 ns        24127 ns        27449 items_per_second=41.4466k/s
BM_Network_TrainSample/128         38171 ns        38094 ns        16909 items_per_second=26.2509k/s
BM_Network_TrainEpoch/8            57447 ns        57317 ns        12390 items_per_second=69.7871k/s
BM_Network_TrainEpoch/16           62822 ns        62687 ns        10100 items_per_second=63.8089k/s
BM_Network_TrainEpoch/32           77616 ns        77466 ns         8433 items_per_second=51.6357k/s
BM_Network_TrainEpoch/64          104884 ns       104682 ns         6088 items_per_second=38.211k/s
BM_Network_TrainEpoch/128         162320 ns       161998 ns         3787 items_per_second=24.6917k/s
BM_Scaling_Inference/8              6884 ns         6870 ns        97746
BM_Scaling_Inference/16            11117 ns        11091 ns        62359
BM_Scaling_Inference/32            22198 ns        22159 ns        32281
BM_Scaling_Inference/64            62916 ns        62803 ns        11337
BM_Scaling_Inference/128          248322 ns       247782 ns         2834
BM_Scaling_Inference/256         1032682 ns      1030542 ns          680
BM_Scaling_Inference/512         4111531 ns      4100553 ns          171
BM_Scaling_Inference_BigO          15.69 N^2       15.65 N^2  
BM_Scaling_Inference_RMS               1 %             1 %    
BM_Scaling_Training/8               7034 ns         7020 ns       100224
BM_Scaling_Training/16             10783 ns        10762 ns        68351
BM_Scaling_Training/32             21023 ns        20979 ns        32913
BM_Scaling_Training/64             65026 ns        64903 ns        11028
BM_Scaling_Training/128           254442 ns       253915 ns         2757
BM_Scaling_Training/256          1055997 ns      1053756 ns          665
BM_Scaling_Training/512          4260551 ns      4249637 ns          164
BM_Scaling_Training_BigO           16.24 N^2       16.20 N^2  
BM_Scaling_Training_RMS                1 %             1 %    
BM_RandomizeWeights/8             106040 ns        64833 ns        10166
BM_RandomizeWeights/16            107425 ns        67398 ns         9590
BM_RandomizeWeights/32            106134 ns        66574 ns        10339
BM_RandomizeWeights/64            108564 ns        66751 ns        10679
BM_RandomizeWeights/128           108176 ns        65943 ns         9333
BM_RandomizeWeights/256           108956 ns        68129 ns         9955
BM_Predict/8                       15114 ns        15075 ns        43332 items_per_second=66.3329k/s
BM_Predict/16                      17599 ns        17557 ns        38152 items_per_second=56.9572k/s
BM_Predict/32                      21294 ns        21233 ns        32404 items_per_second=47.0962k/s
BM_Predict/64                      28085 ns        28015 ns        25467 items_per_second=35.6955k/s
BM_Predict/128                     47163 ns        47048 ns        14931 items_per_second=21.2548k/s
